Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Philopteridae	Cirrophthirius	Cirrophthirius sp. QuspRenov2
Phthiraptera	Philopteridae	Cirrophthirius	Cirrophthirius recurvirostrae
Phthiraptera	Philopteridae	Cirrophthirius	Cirrophthirius testudinarius
Phthiraptera	Philopteridae	Osculotes	Osculotes macropoda
Phthiraptera	Philopteridae	Osculotes	Osculotes curta
Phthiraptera	Philopteridae	Colinicola	Colinicola mearnsi
Phthiraptera	Philopteridae	Colinicola	Colinicola docophoroides
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspChmel
Phthiraptera	Philopteridae	Anaticola	Anaticola thoracicus
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspBualb
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspCaleu
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspMearm
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspChjub
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspPhand
Phthiraptera	Philopteridae	Anaticola	Anaticola sp. AnspBilob
Phthiraptera	Philopteridae	Anaticola	Anaticola jamesi
Phthiraptera	Philopteridae	Anaticola	Anaticola phoenicopteri
Phthiraptera	Philopteridae	Anaticola	Anaticola mergiserrati
Phthiraptera	Philopteridae	Anaticola	Anaticola marginella
Phthiraptera	Philopteridae	Anaticola	Anaticola australis
Phthiraptera	Philopteridae	Anaticola	Anaticola asymmetricus
Phthiraptera	Philopteridae	Anaticola	Anaticola rheinwaldi
Phthiraptera	Philopteridae	Anaticola	Anaticola magnificus
Phthiraptera	Philopteridae	Anaticola	Anaticola anseris
Phthiraptera	Philopteridae	Anaticola	Anaticola crassicornis
Phthiraptera	Philopteridae	Trichophilopterus	Trichophilopterus babakotophilus
Phthiraptera	Philopteridae	Struthiolipeurus	Struthiolipeurus sp. SlspRhame
Phthiraptera	Philopteridae	Struthiolipeurus	Struthiolipeurus struthionis
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspPlful
Phthiraptera	Philopteridae	Quadraceps	Quadraceps ravus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps obliquus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps junceus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps hospes
Phthiraptera	Philopteridae	Quadraceps	Quadraceps hiaticulae
Phthiraptera	Philopteridae	Quadraceps	Quadraceps charadrii
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspStisa
Phthiraptera	Philopteridae	Quadraceps	Quadraceps caspius
Phthiraptera	Philopteridae	Quadraceps	Quadraceps nycthemerus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps kosswigi
Phthiraptera	Philopteridae	Quadraceps	Quadraceps dressleri
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspThorb
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspBugra
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspStber
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspLapac
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspRenov1
Phthiraptera	Philopteridae	Quadraceps	Quadraceps impar
Phthiraptera	Philopteridae	Quadraceps	Quadraceps umbrinus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps bicuspis
Phthiraptera	Philopteridae	Quadraceps	Quadraceps boephilus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps aethereus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspEsmag
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspCucha
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspReame
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspThrub
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspHaful
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspStnil
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspVamil
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. QuspHimex
Phthiraptera	Philopteridae	Quadraceps	Quadraceps sp. KJ-2017
Phthiraptera	Philopteridae	Quadraceps	Quadraceps ornatus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps strepsilaris
Phthiraptera	Philopteridae	Quadraceps	Quadraceps similis
Phthiraptera	Philopteridae	Quadraceps	Quadraceps obscurus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps auratus
Phthiraptera	Philopteridae	Quadraceps	Quadraceps punctatus
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus sp. PsspTimaj
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus sp. QsspCrsou
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus sp. PsspCrobs
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus grandis
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus macrogenitalis
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus sp. PsspCrstr
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus sp. PsspTigut
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus plumbeus
Phthiraptera	Philopteridae	Pseudolipeurus	Pseudolipeurus similis
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. BrspMefra
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspMerub
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspGypel
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCaaur2
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspEuver
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCaaur
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCabru
Phthiraptera	Philopteridae	Penenirmus	Penenirmus arcticus
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspVenig
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspPobil
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspMechr
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspLyleu
Phthiraptera	Philopteridae	Penenirmus	Penenirmus marginatus
Phthiraptera	Philopteridae	Penenirmus	Penenirmus jungens
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspInvar
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspInmin
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspEuric
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspDegri
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspPsmin
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCiruf
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCatur
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspBrbab
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspAnlin
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspCeame
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspInwil
Phthiraptera	Philopteridae	Penenirmus	Penenirmus sp. PnspGycal
Phthiraptera	Philopteridae	Penenirmus	Penenirmus guineensis
Phthiraptera	Philopteridae	Penenirmus	Penenirmus pici
Phthiraptera	Philopteridae	Penenirmus	Penenirmus auritus
Phthiraptera	Philopteridae	Penenirmus	Penenirmus zumpti
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus turbinatus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus sp. PgspSusul
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus sp. PgspPhhar
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus acutofasciatus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus afer
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus dispar
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus fregatiphagus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus varius
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus gracilicornis
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus tordoffi
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus excornis
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus setosus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus punctatus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus annulatus
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus gyricornis
Phthiraptera	Philopteridae	Pectinopygus	Pectinopygus bassani
Phthiraptera	Philopteridae	Otidoecus	Otidoecus houbarae
Phthiraptera	Philopteridae	Nyctibicola	Nyctibicola longirostris
Phthiraptera	Philopteridae	Naubates	Naubates harrisoni
Phthiraptera	Philopteridae	Harrisoniella	Harrisoniella densa
Phthiraptera	Philopteridae	Formicaricola	Formicaricola sp. FospChnob373
Phthiraptera	Philopteridae	Formicaricola	Formicaricola analoides
Phthiraptera	Philopteridae	Docophoroides	Docophoroides brevis
Phthiraptera	Philopteridae	Cuculicola	Cuculicola splendidus
Phthiraptera	Philopteridae	Cuculicola	Cuculicola sp. CuspScnov
Phthiraptera	Philopteridae	Cuculicola	Cuculicola sp. CuspCeaur
Phthiraptera	Philopteridae	Cuculicola	Cuculicola sp. CuspCacas
Phthiraptera	Philopteridae	Cuculicola	Cuculicola sp. Cusp.Clcaf
Phthiraptera	Philopteridae	Cuculicola	Cuculicola atopus
Phthiraptera	Philopteridae	Colilipeurus	Colilipeurus obscurior
Phthiraptera	Philopteridae	Colilipeurus	Colilipeurus colius
Phthiraptera	Philopteridae	Chelopistes	Chelopistes sp. PyspOdgut
Phthiraptera	Philopteridae	Chelopistes	Chelopistes texanus
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspSIfro
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspSicur
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspRhnig
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPyxan
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPyjoc
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPlvel
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPhino
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPaele
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspFihyp
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCimag
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCamex
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspAicra
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspClpic
Phthiraptera	Philopteridae	Brueelia	Brueelia brachythorax
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMycol
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMegul
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspArcya
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspErtri
Phthiraptera	Philopteridae	Brueelia	Brueelia rotundata
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCrbar
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspOrfla
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMenov
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspUrery
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspZodam
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPoruf
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspHyleu
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspHecas
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspFitri
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspEmpus
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPagul
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspAlmor
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCyban
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspTepar
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspNabre
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspOrchi
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspStstr
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspGamae
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspSafer
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspDihot
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspLelut
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMevir
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspLostr
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCasin
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspTrvir
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCocae
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspPamel
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMelew
Phthiraptera	Philopteridae	Brueelia	Brueelia longa
Phthiraptera	Philopteridae	Brueelia	Brueelia biocellata
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspLofus
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCoazu
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspCipun
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMemys
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMecru
Phthiraptera	Philopteridae	Brueelia	Brueelia sp. BrspMeorn
Phthiraptera	Philopteridae	Brueelia	Brueelia quadrangularis
Phthiraptera	Philopteridae	Brueelia	Brueelia deficiens
Phthiraptera	Philopteridae	Brueelia	Brueelia ornatissima
Phthiraptera	Philopteridae	Brueelia	Brueelia brunneinucha
Phthiraptera	Philopteridae	Brueelia	Brueelia laticeps
Phthiraptera	Philopteridae	Brueelia	Brueelia marginella
Phthiraptera	Philopteridae	Bedfordiella	Bedfordiella unica
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus sp. AqspTanov
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus sp. AqspPopol
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus podicepis
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus podilymbus
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus rollandii
Phthiraptera	Philopteridae	Aquanirmus	Aquanirmus occidentalis
Phthiraptera	Philopteridae	Haffneria	Haffneria grandis
Phthiraptera	Philopteridae	Oxylipeurus	Oxylipeurus sp. OxspOdspe
Phthiraptera	Philopteridae	Oxylipeurus	Oxylipeurus inaequalis
Phthiraptera	Philopteridae	Oxylipeurus	Oxylipeurus sp. Cxnum
Phthiraptera	Philopteridae	Oxylipeurus	Oxylipeurus sp. Lisp.Rorou
Phthiraptera	Philopteridae	Oxylipeurus	Oxylipeurus chiniri
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. PhspGevrg
Phthiraptera	Philopteridae	Physconelloides	Physconelloides perijae
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. PhspPhcha
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. CaspPhhis
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. CcspPhele
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. CcspPeruf
Phthiraptera	Philopteridae	Physconelloides	Physconelloides sp. CcspPealb
Phthiraptera	Philopteridae	Physconelloides	Physconelloides zenaidurae
Phthiraptera	Philopteridae	Physconelloides	Physconelloides wisemani
Phthiraptera	Philopteridae	Physconelloides	Physconelloides spenceri
Phthiraptera	Philopteridae	Physconelloides	Physconelloides cubanus
Phthiraptera	Philopteridae	Physconelloides	Physconelloides ceratoceps
Phthiraptera	Philopteridae	Physconelloides	Physconelloides anolaimae
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspHenov
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspGestr
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspCosjo
Phthiraptera	Philopteridae	Coloceras	Coloceras stephani
Phthiraptera	Philopteridae	Coloceras	Coloceras clayae
Phthiraptera	Philopteridae	Coloceras	Coloceras castroi
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspGepla
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcpsOclop
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspGehum
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspGecun
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspLemel
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspStpic
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspStsem
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspTucha
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspTutym
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspAplar
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspStcap
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspStlug
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspChind
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CaspColcm
Phthiraptera	Philopteridae	Coloceras	Coloceras sp. CcspMamac
Phthiraptera	Philopteridae	Coloceras	Coloceras tovornikae
Phthiraptera	Philopteridae	Coloceras	Coloceras museihalense
Phthiraptera	Philopteridae	Coloceras	Coloceras setosum
Phthiraptera	Philopteridae	Coloceras	Coloceras grande
Phthiraptera	Philopteridae	Coloceras	Coloceras damicorne
Phthiraptera	Philopteridae	Coloceras	Coloceras furcatum
Phthiraptera	Philopteridae	Coloceras	Coloceras laticlypeatus
Phthiraptera	Philopteridae	Coloceras	Coloceras hilli
Phthiraptera	Philopteridae	Coloceras	Coloceras doreyanus
Phthiraptera	Philopteridae	Coloceras	Coloceras clypeatum
Phthiraptera	Philopteridae	Coloceras	Coloceras chinense
Phthiraptera	Philopteridae	Campanulotes	Campanulotes heteroceros
Phthiraptera	Philopteridae	Campanulotes	Campanulotes sp. CaspGehum
Phthiraptera	Philopteridae	Campanulotes	Campanulotes sp. CaspGesmi
Phthiraptera	Philopteridae	Campanulotes	Campanulotes sp. CaspGeplu
Phthiraptera	Philopteridae	Campanulotes	Campanulotes campanulatus
Phthiraptera	Philopteridae	Campanulotes	Campanulotes frenatus
Phthiraptera	Philopteridae	Campanulotes	Campanulotes flavus
Phthiraptera	Philopteridae	Campanulotes	Campanulotes elegans
Phthiraptera	Philopteridae	Campanulotes	Campanulotes durdeni
Phthiraptera	Philopteridae	Campanulotes	Campanulotes bidentatus
Phthiraptera	Philopteridae	Campanulotes	Campanulotes compar
Phthiraptera	Philopteridae	Auricotes	Auricotes sp. AuspDubak
Phthiraptera	Philopteridae	Auricotes	Auricotes sp. AuspDupac
Phthiraptera	Philopteridae	Auricotes	Auricotes sp. AuspPtriv
Phthiraptera	Philopteridae	Auricotes	Auricotes sp. AuspDubic
Phthiraptera	Philopteridae	Auricotes	Auricotes affinis
Phthiraptera	Philopteridae	Auricotes	Auricotes rotundus
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. CospZeaur
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. CospGevrg
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. PnpicBlrub
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. CospOecap
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. CospCosjo
Phthiraptera	Philopteridae	Columbicola	Columbicola sp. Tusp.Tutym
Phthiraptera	Philopteridae	Columbicola	Columbicola palmai
Phthiraptera	Philopteridae	Columbicola	Columbicola waggermani
Phthiraptera	Philopteridae	Columbicola	Columbicola wolffhuegeli
Phthiraptera	Philopteridae	Columbicola	Columbicola wecksteini
Phthiraptera	Philopteridae	Columbicola	Columbicola taschenbergi
Phthiraptera	Philopteridae	Columbicola	Columbicola mjoebergi
Phthiraptera	Philopteridae	Columbicola	Columbicola meinertzhageni
Phthiraptera	Philopteridae	Columbicola	Columbicola guimaraesi
Phthiraptera	Philopteridae	Columbicola	Columbicola emersoni
Phthiraptera	Philopteridae	Columbicola	Columbicola elbeli
Phthiraptera	Philopteridae	Columbicola	Columbicola angustus
Phthiraptera	Philopteridae	Columbicola	Columbicola timmermanni
Phthiraptera	Philopteridae	Columbicola	Columbicola extinctus
Phthiraptera	Philopteridae	Columbicola	Columbicola exilicornis
Phthiraptera	Philopteridae	Columbicola	Columbicola macrourae
Phthiraptera	Philopteridae	Columbicola	Columbicola columbae
Phthiraptera	Philopteridae	Columbicola	Columbicola baculoides
Phthiraptera	Philopteridae	Trabeculus	Trabeculus hexakon
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia sp. CjspNupha
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia sp. CjspNumin
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia laticaudata
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia melanocephalus
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia sp. SaspStber
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia sagulata
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia wumisuzume
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia haematopi
Phthiraptera	Philopteridae	Saemundssonia	Saemundssonia lari
Phthiraptera	Philopteridae	Halipeurus	Halipeurus abnormis
Phthiraptera	Philopteridae	Halipeurus	Halipeurus diversus
Phthiraptera	Philopteridae	Austrogoniodes	Austrogoniodes waterstoni
Phthiraptera	Menoponidae	Eureum	Eureum sp. EuspTasq
Phthiraptera	Menoponidae	Eureum	Eureum sp. EuspCoes
Phthiraptera	Menoponidae	Heleonomus	Heleonomus assimilis
Phthiraptera	Menoponidae	Amyrsidea	Amyrsidea jacquacu
Phthiraptera	Menoponidae	Kaysius	Kaysius sp. NispLivoc
Phthiraptera	Menoponidae	Heteromenopon	Heteromenopon sp. HmspArjan
Phthiraptera	Menoponidae	Machaerilaemus	Machaerilaemus sp. MaspWipoe
Phthiraptera	Menoponidae	Comatomenopon	Comatomenopon sp. CmspArmel
Phthiraptera	Menoponidae	Bonomiella	Bonomiella columbae
Phthiraptera	Menoponidae	Bonomiella	Bonomiella sp. BnspCoarq
Phthiraptera	Menoponidae	Turacoeca	Turacoeca sp. TuspMujoh
Phthiraptera	Menoponidae	Meromenopon	Meromenopon meropis
Phthiraptera	Menoponidae	Quateia	Quateia irianensis
Phthiraptera	Menoponidae	Psittacomenopon	Psittacomenopon gulielmi
Phthiraptera	Menoponidae	Psittacobrosus	Psittacobrosus amazonicus
Phthiraptera	Menoponidae	Pseudomenopon	Pseudomenopon pilosum
Phthiraptera	Menoponidae	Pseudomenopon	Pseudomenopon dolium
Phthiraptera	Menoponidae	Plegadiphilus	Plegadiphilus plegadis
Phthiraptera	Menoponidae	Piagetiella	Piagetiella peralis
Phthiraptera	Menoponidae	Odoriphila	Odoriphila phoeniculi
Phthiraptera	Menoponidae	Numidicola	Numidicola antennatus
Phthiraptera	Menoponidae	Nosopon	Nosopon lucidum
Phthiraptera	Menoponidae	Eidmanniella	Eidmanniella pustulosa
Phthiraptera	Menoponidae	Cuculiphilus	Cuculiphilus platygaster
Phthiraptera	Menoponidae	Austromenopon	Austromenopon atrofulvum
Phthiraptera	Menoponidae	Actornithophilus	Actornithophilus hoplopteri
Phthiraptera	Menoponidae	Dicteisia	Dicteisia sp. DcspChtor
Phthiraptera	Menoponidae	Franciscoloa	Franciscoloa sp. FrspCaban
Phthiraptera	Menoponidae	Clayia	Clayia sp. ClspFraha
Phthiraptera	Menoponidae	Ramphasticola	Ramphasticola sp. RmspRatuc
Phthiraptera	Menoponidae	Apterygon	Apterygon sp. ApspApsp
Phthiraptera	Menoponidae	Eomenopon	Eomenopon sp. EospTrhae
Phthiraptera	Menoponidae	Kelerimenopon	Kelerimenopon sp. KmspPiiri
Phthiraptera	Menoponidae	Kelerimenopon	Kelerimenopon sp. KmspCaban
Phthiraptera	Menoponidae	Holomenopon	Holomenopon sp. HpspAnstr
Phthiraptera	Menoponidae	Menacanthus	Menacanthus balfouri
Phthiraptera	Menoponidae	Menacanthus	Menacanthus sp. MespPhalb
Phthiraptera	Menoponidae	Menacanthus	Menacanthus sp. MespComel
Phthiraptera	Menoponidae	Menacanthus	Menacanthus sp. MespMepuc
Phthiraptera	Menoponidae	Menacanthus	Menacanthus sp. MespOrvet
Phthiraptera	Menoponidae	Kurodaia	Kurodaia haliaeeti
Phthiraptera	Menoponidae	Ciconiphilus	Ciconiphilus decimfasciatus
Phthiraptera	Menoponidae	Fregatiella	Fregatiella aurifasciata
Phthiraptera	Menoponidae	Colpocephalum	Colpocephalum unciferum
Phthiraptera	Menoponidae	Colpocephalum	Colpocephalum nanum
Phthiraptera	Menoponidae	Colpocephalum	Colpocephalum kelloggi
Phthiraptera	Menoponidae	Colpocephalum	Colpocephalum cristatae
Phthiraptera	Menoponidae	Colpocephalum	Colpocephalum turbinatum
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. BrspMaspl
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. MyspEujav
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. MyspTymel
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. MyspGycal
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. MyspRatuc
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. MyspHymus
Phthiraptera	Menoponidae	Myrsidea	Myrsidea sp. Mysp
Phthiraptera	Menoponidae	Myrsidea	Myrsidea minuscula
Phthiraptera	Menoponidae	Myrsidea	Myrsidea wombeyi
Phthiraptera	Menoponidae	Menopon	Menopon gallinae
Phthiraptera	Menoponidae	Hoazineus	Hoazineus armiferus
Phthiraptera	Menoponidae	Chapinia	Chapinia lophocerus
Phthiraptera	Menoponidae	Trinoton	Trinoton nigrum
Phthiraptera	Menoponidae	Trinoton	Trinoton fluviatile
Phthiraptera	Menoponidae	Trinoton	Trinoton querquedulae
Phthiraptera	Menoponidae	Hohorstiella	Hohorstiella radovskyi
Phthiraptera	Menoponidae	Hohorstiella	Hohorstiella lata
Phthiraptera	Menoponidae	Colimenopon	Colimenopon urocolius
Phthiraptera	Menoponidae	Ancistrona	Ancistrona vagelli
Phthiraptera	Menoponidae	Dennyus	Dennyus vonarxi
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespTasq
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCypa
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCycr
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCyba
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespColi
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCoes3
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCoes2
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCoes1
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespChci
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespChbr
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespApap
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespAeva
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespAete
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespAefu
Phthiraptera	Menoponidae	Dennyus	Dennyus southwoodi
Phthiraptera	Menoponidae	Dennyus	Dennyus meridionalis
Phthiraptera	Menoponidae	Dennyus	Dennyus bruneri
