Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Ricinidae	Ricinus	Ricinus elongatus
Phthiraptera	Ricinidae	Ricinus	Ricinus sp. RispBlsyn
Phthiraptera	Ricinidae	Ricinus	Ricinus sp. RispJuhye
Phthiraptera	Ricinidae	Ricinus	Ricinus sp. Risp
Phthiraptera	Trimenoponidae	Chinchillophaga	Chinchillophaga clayae
Phthiraptera	Trimenoponidae	Trimenopon	Trimenopon hispidum
Phthiraptera	Trimenoponidae	Harrisonia	Harrisonia sp. HsspPrgar
Phthiraptera	Trimenoponidae	Cummingsia	Cummingsia maculata
Phthiraptera	Boopidae	Heterodoxus	Heterodoxus sp. HtspMaagi
Phthiraptera	Boopidae	Heterodoxus	Heterodoxus spiniger
Phthiraptera	Bovicoliidae	Damalinia	Damalinia meyeri
Phthiraptera	Bovicoliidae	Bovicola	Bovicola ovis
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion gracile
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion opisthocomi
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion maximum
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion glutinans
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion tinnunculi
Phthiraptera	Laemobothriidae	Laemobothrion	Laemobothrion atrum
Phthiraptera	Trichodectidae	Procavicola	Procavicola sp. PvspPrcap
Phthiraptera	Trichodectidae	Neotrichodectes	Neotrichodectes mephitidis
Phthiraptera	Trichodectidae	Eutrichophilus	Eutrichophilus setosus
Phthiraptera	Trichodectidae	Tricholipeurus	Tricholipeurus lipeuroides
Phthiraptera	Trichodectidae	Stachiella	Stachiella larseni
Phthiraptera	Trichodectidae	Trichodectes	Trichodectes canis
Phthiraptera	Trichodectidae	Geomydoecus	Geomydoecus aurei
Phthiraptera	Polyplacidae	Phthirpediculus	Phthirpediculus sp. QzspEumac
Phthiraptera	Polyplacidae	Lemurphthirus	Lemurphthirus sp. LespGadee
Phthiraptera	Polyplacidae	Polyplax	Polyplax sp. PxspLoaqu
Phthiraptera	Polyplacidae	Linognathoides	Linognathoides marmotae
Phthiraptera	Haematomyzidae	Haematomyzus	Haematomyzus elephantis
Phthiraptera	Heptapsogasteridae	Megaginus	Megaginus sp. MgspCrsou
Phthiraptera	Heptapsogasteridae	Megaginus	Megaginus emarginatus
Phthiraptera	Heptapsogasteridae	Megaginus	Megaginus sp. MgspCrund
Phthiraptera	Heptapsogasteridae	Megaginus	Megaginus tataupensis
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. 'Hypocrypturellus' HyspTitao
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. 'Hypocrypturellus' HyspTimaj
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. 'Hypocrypturellus' HyspTigut
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. 'Hypocrypturellus' HyspCrsou
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. 'Hypocrypturellus' HyspCrobs
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia intermedius
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia mendax
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia undulatus
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. KespCrtat
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. KespTigut
Phthiraptera	Heptapsogasteridae	Kelloggia	Kelloggia sp. KespCrstr
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma sp. PespCrtra
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma punensis
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma meserythra
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma angusta
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma subparva
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma yapurae
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma parva
Phthiraptera	Heptapsogasteridae	Pectenosoma	Pectenosoma sp. PespCrstr
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster teres
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster subteres
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespNodar2
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster bolivianus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster rotundatus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sexpunctatus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster andinae
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sexsetosus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster testudo
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster tesselatus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. 2 HespCrbou2
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespNopen
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespNocin
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrtra
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrobsPE
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrbou
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster nothocercae
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster inexpectatus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster truncatus
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrobs
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrstr2
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespNodar
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespNobor
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrpar
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrund
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster mandibularis
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster minor
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster frielingi
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespTigut
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespEuele
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespChbur
Phthiraptera	Heptapsogasteridae	Heptapsogaster	Heptapsogaster sp. HespCrstr
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. StspTimaj
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. StspTigut
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. StspNonig
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspCrsou2
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspCrobsPE
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes tinami
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspCrobs
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes subspinosus
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes limai
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes glabrous
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes cordiceps
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspCrsou
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspTigut
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes sp. SgspCrstr
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes lipogonus
Phthiraptera	Heptapsogasteridae	Strongylocotes	Strongylocotes orbicularis
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus sp. MespCrobs
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus multiplex
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus sp. MpspCrcin2
